	FLD0194_30_05_2006_2b	FLD0195_13_06_2006_1c	FLD0196_13_06_2006_2c	FLD0197_27_06_2006_1	FLD0198_27_06_2006_2	FLD0199_12_07_2006_1b	FLD0200_12_07_2006_2b	FLD0201_25_07_2006_1	FLD0202_02_08_2006_1b	FLD0203_02_08_2006_2b	FLD0212_15_08_2006_1a	FLD0205_15_08_2006_2a	FLD0206_22_08_2006_1	FLD0207_22_08_2006_2	FLD0208_05_09_2006_1	FLD0209_05_09_2006_2	FLD0210_12_09_2006_1a	FLD0211_12_09_2006_2b	FLD0204_26_09_2006_1b	FLD0213_26_09_2006_2a	FLD0214_10_10_2006_1	FLD0215_16_10_2006_1b	FLD0216_16_10_2006_2b	FLD0217_09_05_2007_1	FLD0218_09_05_2007_2	FLD0235_02_06_2007	FLD0219_06_07_2007_1	FLD0220_06_07_2007_2	FLD0221_02_08_2007_1	FLD0222_02_08_2007_2	FLD0223_22_08_2007_1	FLD0224_22_08_2007_2	FLD0225_05_09_2007_1	FLD0226_05_09_2007_2	FLD0227_19_09_2007_1	FLD0228_19_09_2007_2	FLD0229_26_09_2007_1	FLD0230_26_09_2007_2	FLD0231_10_10_2007_1	FLD0232_22_05_2008_1	FLD0233_01_06_2008_1	FLD0234_01_06_2008	FLD0236_25_06_2008_a	FLD0237_25_06_2008_b	FLD0238_02_07_2008	FLD0239_15_07_2008_1	FLD0240_15_07_2008_2	FLD0241_04_08_2008_4b	FLD0242_04_08_2008_2b	FLD0243_18_08_2008_4d	FLD0244_24_08_2008_2	FLD0245_29_08_2008_1	FLD0246_29_08_2008_2	FLD0248_03_09_2008_2b	FLD0247_08_09_2008_3d	FLD0249_17_09_2008_1d	FLD0250_17_09_2008_3b	FLD0251_07_10_2008_5b	FLD0252_07_10_2008_6b	FLD0253_27_10_2008_1	FLD0254_27_10_2008_2	FLD0255_20_05_2009_1	FLD0256_20_05_2009_2	FLD0257_17_06_2009_1	FLD0258_17_06_2009_2	FLD0259_08_07_2009_1	FLD0260_08_07_2009_2	FLD0261_12_07_2009_1b	FLD0262_12_07_2009_2b	FLD0263_25_07_2009_b	FLD0264_25_07_2009_p2	FLD0265_29_07_2009_1	FLD0266_08_08_2009_p2	FLD0267_22_08_2009_1	FLD0268_22_08_2009_p1	FLD0269_02_09_2009_1	FLD0270_02_09_2009_2	FLD0271_16_09_2009_1	FLD0272_16_09_2009_2	FLD0273_23_09_2009_1	FLD0274_23_09_2009_2	FLD0275_15_10_2009_1	FLD0276_15_10_2009_p2	FLD0277_05_05_2010_1	FLD0278_05_05_2010_2	FLD0279_16_06_2010_1	FLD0280_16_06_2010_2	FLD0281_05_07_2010_1	FLD0282_12_07_2010_1	FLD0283_12_07_2010_2	FLD0284_26_07_2010_1	FLD0285_10_08_2010_1	FLD0286_10_08_2010_2	FLD0289_22_08_2010_1	FLD0290_16_09_2010_1	FLD0291_16_09_2010_2	FLD0292_19_10_2010_1	FLD0293_19_10_2010_2	FLD0294_15_05_2011_1	FLD0295_15_05_2011_1	FLD0297_21_06_2011_1	FLD0298_21_06_2011_2	FLD0299_05_07_2011_1	FLD0300_05_07_2011_2	FLD0301_19_07_2011_1	FLD0302_19_07_2011_2	FLD0303_09_08_2011_1	FLD0304_09_08_2011_2	FLD0305_23_08_2011_1	FLD0306_23_08_2011_2	FLD0307_12_09_2011_1	FLD0308_12_09_2011_2	FLD0309_12_10_2011_1	FLD0310_12_10_2011_2	FLD0311_24_04_2012_1	FLD0312_07_06_2012_1	FLD0313_07_06_2012_2	FLD0314_20_07_2012_1	FLD0315_20_07_2012_2	FLD0316_14_08_2012_1	FLD0317_14_08_2012_2	FLD0318_17_09_2012_1	FLD0319_17_09_2012_2	FLD0320_17_10_2012_1	FLD0321_17_10_2012_2	FLD0323_05_06_2013_1	FLD0324_05_06_2013_2	FLD0325_03_07_2013_1	FLD0326_03_07_2013_2	FLD0327_16_08_2013_1	FLD0328_16_08_2013_2	FLD0329_27_08_2013_1	FLD0330_17_09_2013_1	FLD0331_17_09_2013_2	FLD0332_23_10_2013_1	FLD0333_23_10_2013_2	FLD0334_19_03_2015_p1	FLD0335_19_03_2015_p2	FLD0336_19_03_2015_L1	FLD0337_19_03_2015_L2	FLD0338_30_06_2015_p1	FLD0339_30_06_2015_L2	FLD0340_16_07_2015_p1	FLD0341_16_07_2015_L1	FLD0342_28_07_2015_1	FLD0344_30_07_2015_1	FLD0347_04_08_2015_1	FLD0351_10_08_2015_1	FLD0353_12_08_2015_1	FLD0355_13_08_2015_1	FLD0356_13_08_2015_2	FLD0357_03_09_2015_2	FLD0358_16_09_2015_1	FLD0359_16_09_2015_2	FLD0360_21_10_2015_1	FLD0361_21_10_2015_2	FLD0362_19_07_2016	FLD0363_20_07_2016	FLD0364_25_07_2016	FLD0365_27_07_2016	FLD0366_01_08_2016	FLD0367_09_08_2016	FLD0368_18_08_2016	FLD0369_23_08_2016	FLD0370_03_09_2016	FLD0371_15_09_2016	FLD0372_22_09_2016	FLD0373_25_10_2016
ASV_11	35	463	310	40	68	130	247	39	21	60	21	0	137	61	44	56	35	51	0	27	0	8	33	0	12	1385	9	5	46	45	4959	8991	3401	2497	6375	8161	2565	2395	2852	247	896	1170	810	1003	327	1201	1494	7	427	164	537	103	81	825	0	1334	1236	122	338	179	41	660	101	254	168	1239	1567	1334	1016	238	68	1046	513	6873	5487	1609	4135	883	992	1349	1689	1736	1270	47	72	662	671	145	113	81	242	157	53	153	191	95	78	54	0	17	13	0	14	18	20	14	36	54	117	105	48	136	25	16	91	33	37	33	19	233	234	6362	4733	1345	885	221	84	159	250	162	167	92	365	704	237	167	0	0	0	0	26	9	71	71	58	28	116	60	248	234	144	16	51	54	101	23	4480	4846	5803	3957	5232	5595	4518	7074	5096	4592	296	721
ASV_12	12	50	53	27	18	13	30	4	0	23	48	0	63	18	58	35	82	65	8	64	0	0	36	6	0	1083	0	0	303	227	9443	12636	8187	6651	8585	10923	6469	8548	5716	287	1210	1503	1125	2113	1993	2766	2573	251	5095	719	7386	42	60	964	0	2219	1798	169	463	455	220	693	178	211	142	474	387	412	405	33	21	4728	115	144	334	150	329	462	1087	1939	2183	1595	1466	86	52	143	183	54	143	92	496	737	394	704	153	135	20	58	0	15	0	29	0	6	0	29	330	182	596	372	327	480	92	78	25	55	0	466	987	1976	1865	1696	1305	815	589	75	48	0	76	57	267	93	1666	1992	1064	521	0	11	30	0	0	14	39	26	0	17	56	0	133	112	24	0	31	10	40	9	0	25	0	0	54	166	119	88	94	58	10	26
ASV_13	14	22	42	10	0	15	24	3	15	17	5	0	18	7	0	17	9	7	3	0	0	2	0	0	0	65	609	7037	343	441	146	254	87	44	48	66	66	73	23	10	72	79	936	3269	1939	1715	1750	134	3816	450	4562	29	24	135	0	186	164	46	105	23	21	140	35	62	42	144	138	147	176	11	0	6818	15	32	220	0	17	58	36	224	390	104	88	0	6	0	12	2536	4731	2360	1657	164	102	14	27	10	104	56	5	0	0	0	57	42	3595	2239	3226	2604	478	326	42	95	14	21	96	124	103	4808	5421	100	90	29	31	14	8	9	20	649	544	194	2048	69	261	287	20	13	0	0	0	14	603	305	483	414	112	288	672	736	1208	541	938	11	66	58	55	7	14592	14969	11344	10604	3942	1375	1100	352	2824	62	7	239
ASV_14	8	1244	1306	182	141	59	79	0	12	14	0	0	0	0	7	7	0	4	0	0	4	0	0	0	0	6245	204	314	31	98	0	7	6	3	4	8	8	0	0	11	3367	4757	147	299	207	161	134	0	18	5	37	0	5	4	0	5	5	0	0	11	0	293	102	13383	9387	4390	5378	4233	4505	433	176	17	289	24	28	4	25	3	15	9	7	0	0	0	2	1128	1082	644	572	1072	376	28	38	36	15	19	26	13	0	0	186	387	383	303	28	17	8	4	14	12	3	5	0	0	7	10672	17036	206	182	32	18	29	19	0	0	2855	5897	12464	18651	142	151	28	46	31	25	15	0	0	0	3	306	338	309	337	109	89	125	34	113	68	56	0	27	9	10	8	37	42	21	25	14	21	14	7	24	6	0	18
ASV_15	3	13	10	0	0	4	3	0	0	0	14	0	6	17	39	34	25	22	4	23	0	15	11	0	0	192	0	10	0	0	2225	1761	2079	962	5148	6774	1565	1739	820	63	186	306	113	142	63	148	136	9	416	394	558	62	21	571	0	1204	881	57	248	92	36	399	112	69	63	215	204	184	148	34	11	890	40	345	8005	1718	3055	700	1465	1906	2754	1562	1588	93	69	283	306	54	90	38	727	1131	380	162	120	86	92	101	17	4	0	6	38	25	26	7	2558	2536	2231	1870	874	1424	145	204	248	53	63	1873	1582	1343	816	334	311	145	72	49	20	41	28	775	2457	956	3317	4162	1427	637	0	0	0	0	26	13	33	36	46	13	45	31	157	163	36	0	21	21	42	17	15	30	62	100	973	13687	10715	7099	1732	2000	183	521
ASV_16	180	2594	2484	281	376	510	583	0	0	0	0	0	6	6	0	0	0	0	0	0	0	154	253	0	0	3491	0	36	0	0	0	0	0	5	0	0	30	50	49	588	1275	1904	706	3508	719	139	189	0	13	7	15	11	0	3	0	0	0	0	0	16	19	178	52	137	237	183	206	180	221	39	26	22	0	0	0	0	0	0	0	0	0	0	0	0	22	25747	35677	3687	456	208	157	12	12	6	18	27	23	12	4	0	32	128	418	350	326	419	0	17	0	0	0	0	0	18	512	7784	10632	134	152	6	5	7	7	44	22	3299	3180	608	821	5	7	0	5	11	26	36	33	41	17	7	229	218	1435	1089	262	155	103	21	62	41	29	0	0	0	17	9	9	6	11	11	7	6	0	0	10	0	0	2
ASV_17	0	10	0	6	16	0	16	0	0	13	57	3	12	56	52	62	73	54	0	84	5	18	51	0	0	21	3	258	6230	11763	125	252	76	60	120	137	323	197	492	11	16	15	21	26	19	59	76	23	382	12624	543	49	33	4377	0	3435	2867	2187	6627	54	17	199	47	63	24	128	174	296	662	113	18	371	7689	508	553	31	119	142	520	215	171	136	70	0	0	26	24	0	21	13	146	1582	1282	186	14	13	34	13	3	0	0	14	7	0	653	544	529	459	320	275	19	71	5	14	9	0	16	1441	1104	341	325	33	39	0	0	16	0	14	13	16	83	13	252	300	104	65	0	0	0	0	14	8	22	21	0	178	1004	1971	5407	3180	4022	150	315	255	275	42	982	999	825	452	544	381	234	279	378	38	5	35
ASV_18	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	11	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	0	0	0	0	8	0	13	0	0	10	0	27	25	0	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	159	64	103	842	517	11174	7848	4917	3037	62	49	480	679	183	94	221	699	10778	9741	2964	828	973	25	51	13	8	40	78	146	95	82	51	337	127	10962	7498	2661	8324	857	1433	116	372	458	247	393	4471	8354	6060	3451	739	420	60	11	13	18	33	17	17	57	70	37	15	0	0	0	0	0	0	9	13	6	0	14	13	46	23	13	8	22	8	11	18	0	7	0	0	0	21	12	0	0	9	0	8
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	81	421	733	183	382	284	99	196	378	0	0	0	0	0	0	199	728	1134	756	419	56	136	0	0	0	0	0	0	338	196	2846	2900	803	661	583	1072	670	1916	2588	4173	0	41	0	3972	5763	3652	3404	957	532	237	160	0	0	59	83	2320	1555	1552	752	3334	99	142	0	0	0	0	81	78	183	61	94	67	119	148	230	286	209	663	9347	8029	2621	874	349	487	329	265	1542	2246	14564	8177	1253	2502	505	122
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	42	382	467	681	1029	301	0	0	0	0	10	3	0	0	0	60	94	109	0	0	255	0	1719	1269	255	1076	56	9	28	2	4	17	3	6	0	17	0	0	47	0	57	1509	532	911	10951	15560	26062	19195	9736	10559	37	35	29	37	104	171	71	101	326	139	33	12	7	22	0	0	7	0	0	9	0	7	0	442	256	100	109	80	135	11	13	0	0	0	17	92	184	755	149	57	32	20	0	0	0	0	13	146	79	492	816	103	48	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	22	20	46	35	183	664	510	360	244	0	0	0
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	22	6	6	0	0	0	0	0	0	0	19	0	2	10	10	157	176	1470	763	922	1513	1077	1786	361	10	3	7	5	9	11	15	14	66	1338	488	1296	16	8	172	0	203	123	48	189	3	0	5	4	0	0	3	5	14	2	0	0	5284	4	119	3492	862	973	1542	2148	4907	7187	1795	925	2	7	14	26	48	3429	465	8166	2961	1166	38	32	21	28	27	7	0	0	0	0	38	12	7	9336	6429	920	512	50	194	6	13	13	11	11	15953	13225	315	468	107	73	14	8	8	0	9	0	0	298	98	670	1096	47	11	0	0	0	0	5	0	15	5	0	0	10	0	18	14	0	0	6	0	6	0	0	0	6	11	45	100	777	642	61	4	0	9
ASV_22	0	32	35	0	0	0	0	0	103	154	96	0	85	89	376	355	705	869	0	134	37	377	537	0	0	346	355	541	92	253	0	0	82	90	36	24	152	164	158	224	276	357	617	1558	4338	2212	2202	64	568	355	717	78	77	594	0	680	629	233	464	149	67	101	35	161	126	95	148	177	115	325	151	264	335	96	66	19	50	0	16	0	0	22	0	21	15	86	139	57	44	155	111	48	56	32	25	48	0	0	0	0	0	0	119	59	53	46	22	0	40	45	0	0	24	37	41	77	130	222	278	107	131	475	359	125	62	122	91	219	498	3031	1017	696	444	1082	357	393	78	23	0	10	753	682	1744	1473	2439	1880	2795	3198	4359	3674	3743	898	2176	1945	2484	1016	69	72	50	53	54	48	0	0	61	0	0	55
ASV_23	3	5	10	8	0	704	623	176	3832	6681	17	226	669	548	425	646	354	424	0	15	0	25	26	0	5	32	188	311	0	13	0	0	0	0	0	0	0	0	0	9	26	33	107	543	786	230	272	10	94	16	126	348	361	8	0	0	8	5	4	0	0	0	0	21	16	63	138	561	1419	90	39	59	480	108	644	20	50	10	28	13	14	14	4	0	0	9	33	2991	2198	6495	301	36	24	0	7	0	7	0	0	0	6	21	1166	849	288	313	106	70	36	61	0	4	0	0	13	8	13	173	371	7	0	0	4	0	0	0	10	1009	842	70	757	52	51	0	11	9	0	0	0	0	12739	8905	3574	3864	360	248	248	159	271	151	147	13	38	31	21	39	7794	6968	4503	2832	1044	446	146	100	925	7	7	70
