"","10.10.2006.1","16.10.2006.2b","13.06.2006.1c","13.06.2006.2c","27.06.2006.1","27.06.2006.2","12.07.2006.1b","25.07.2006.1","02.08.2006.1b","02.08.2006.2b","15.08.2006.2a","22.08.2006.1","22.08.2006.2","05.09.2006.2","12.09.2006.2b","26.09.2006.1b","10.10.2007.1","09.05.2007.1","09.05.2007.2","06.07.2007.1","06.07.2007.2","02.08.2007.1","02.08.2007.2","22.08.2007.1","22.08.2007.2","05.09.2007.1","05.09.2007.2","19.09.2007.1","19.09.2007.2","26.09.2007.2","07.10.2008.5b","07.10.2008.6b","27.10.2008.1","27.10.2008.2","22.05.2008.1","01.06.2008.1","25.06.2008.a","25.06.2008.b","15.07.2008.2","04.08.2008.4b","04.08.2008.2b","18.08.2008.4d","29.08.2008.1","03.09.2008.2b","17.09.2008.1d","17.09.2008.3b","15.10.2009.1","15.10.2009.p2","20.05.2009.1","20.05.2009.2","08.07.2009.1","08.07.2009.2","12.07.2009.2b","25.07.2009.b","25.07.2009.p2","08.08.2009.p2","22.08.2009.1","22.08.2009.p1","02.09.2009.1","02.09.2009.2","16.09.2009.1","16.09.2009.2","23.09.2009.1","23.09.2009.2","19.10.2010.1","19.10.2010.2","05.05.2010.1","05.05.2010.2","16.06.2010.1","16.06.2010.2","05.07.2010.1","12.07.2010.1","12.07.2010.2","26.07.2010.1","10.08.2010.1","10.08.2010.2","22.08.2010.1","16.09.2010.1","16.09.2010.2","12.10.2011.1","12.10.2011.2","15.05.2011.1","21.06.2011.1","05.07.2011.1","05.07.2011.2","19.07.2011.1","19.07.2011.2","09.08.2011.1","09.08.2011.2","23.08.2011.1","23.08.2011.2","12.09.2011.1","12.09.2011.2","17.10.2012.1","17.10.2012.2","24.04.2012.1","07.06.2012.1","07.06.2012.2","20.07.2012.1","20.07.2012.2","14.08.2012.1","14.08.2012.2","17.09.2012.2","23.10.2013.1","23.10.2013.2","05.06.2013.1","05.06.2013.2","03.07.2013.1","03.07.2013.2","16.08.2013.1","27.08.2013.1","17.09.2013.1","17.09.2013.2"
"ASV_334",47,37,0,0,0,0,0,13,0,32,33,0,66,85,0,55,0,0,0,19,0,0,0,9,0,84,58,14,0,11,0,0,29,13,19,13,89,33,0,0,0,13,47,0,503,146,61,22,0,58,94,18,0,0,0,55,0,82,0,0,14,0,39,47,0,0,0,0,0,0,28,0,0,156,0,0,10,18,8,0,0,0,0,35,0,17,10,0,0,92,36,34,23,38,0,0,0,0,45,10,8,38,0,25,7,0,0,0,0,75,8,7,12
"ASV_335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,80,0,53,0,210,49,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,0,42,0,0,0,0,83,0,0,371,0,219,81,0,380,114,0,49,0,0,0,0,0,0,92,417,380,0,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_336",6,0,0,0,0,0,14,0,28,60,37,0,12,28,0,5,0,0,0,0,0,69,67,9,6,11,0,0,0,0,49,38,0,0,0,0,5,0,19,8,29,268,0,56,56,19,0,0,0,14,0,39,44,23,299,38,0,9,6,5,0,0,0,0,0,0,0,0,0,0,0,114,20,122,34,72,240,0,0,0,9,0,0,125,0,11,16,37,46,60,72,11,23,0,0,0,0,0,242,42,9,49,10,14,0,0,0,0,0,20,11,18,0
"ASV_337",0,0,64,48,0,0,16,0,0,0,0,0,0,0,0,0,0,308,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,143,0,0,0,0,0,0,0,0,0,0,41,0,67,31,0,0,16,0,0,0,0,0,0,0,0,0,0,0,64,18,117,93,0,15,16,0,0,0,0,0,0,0,0,0,0,56,27,78,10,0,22,0,0,0,0,13,0,38,0,177,18,0,0,0,0,0,0,0,0,35,35,14,91,0,0,0,0
"ASV_339",0,0,60,0,104,108,0,0,0,0,0,48,105,203,0,0,0,0,0,0,0,0,0,0,0,167,88,96,87,98,0,0,0,0,0,0,0,80,0,0,0,0,41,0,109,44,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,22,28,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,0,277,49,0,0,0,0,0,0,0,138,155,41,0,0,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"ASV_340",957,27,13,0,82,52,38,0,212,538,95,29,52,47,32,41,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,0,76,68,4,0,0,21,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,36,0,8,5,0,0,0,0,0,89,0,0,0,0,0,0,0,34,0,0,0
"ASV_341",25,0,232,81,0,0,13,0,10,7,13,0,0,28,0,34,100,125,126,27,20,0,10,34,88,7,0,88,42,71,22,33,14,30,0,29,13,22,0,0,0,13,0,0,11,0,39,145,119,344,10,0,10,0,9,24,0,31,28,11,28,0,0,33,9,0,0,43,0,0,7,0,0,0,52,23,0,0,0,10,4,22,6,27,0,0,15,0,0,0,0,24,0,11,0,25,0,7,0,0,0,8,0,8,0,57,21,7,0,7,0,0,0
"ASV_342",0,0,0,0,0,0,0,1998,0,577,12,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0,0,111,0,7,0,0,0,0,0,0,0,0,100,0,0,0
"ASV_343",591,0,0,13,111,122,0,0,45,109,36,0,50,0,0,25,0,33,34,197,60,0,0,0,0,0,0,0,0,0,42,0,0,7,99,0,0,0,0,0,0,40,0,44,85,63,0,0,106,0,61,0,0,0,0,27,6,0,3,9,0,0,0,0,0,6,13,20,0,0,0,0,0,0,0,0,45,6,55,0,0,3,16,62,3,0,64,0,0,0,0,0,0,15,0,0,0,0,0,0,0,154,0,0,0,11,0,0,23,0,0,0,0
"ASV_344",0,0,227,152,0,0,0,0,0,0,0,0,0,0,0,0,0,113,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,60,37,0,0,0,0,0,0,0,0,0,0,0,0,381,11,0,0,31,0,0,0,0,0,0,0,0,0,0,0,51,36,85,119,0,0,0,0,0,0,0,0,0,0,0,41,20,133,0,0,0,0,0,0,0,0,0,40,52,44,0,112,59,36,0,0,0,0,0,0,0,52,53,0,49,0,0,0,0
